img_name,ground_truth
1.png,"for(i=0; i<3; i++) {
printf(""%d"", i);
printf(""\n"");
}"
2.png,"#include <iostream>
int main(int argc, char ** argv)
{
std::cout << ""Hello World!"" << std::endl;
return 0;
}
"
Screenshot 2025-04-11 172314.png,"#include<stdio.h>
#include<conio.h>
void main()
{
clrscr();
printf(""\t My Introduction\n"");
printf(""Hey Friends I m Ram\n"");
printf(""I m student of Be The Developer. com"");
printf(""\n C Programming is best for me."");
printf(""\t"");
getch();
}"
Screenshot 2025-04-11 172402.png,"#include <stdio.h>
int main()
{
int a;
printf(""Enter a integer number \n"");
scanf(""%d"", &a);
printf(""you have Entered number %d\n"", a);
return 0;
}"
Screenshot 2025-04-11 172445.png,"#include<stdio.h>
#include<conio.h>
Void main()
{
int a=12, b=4, c;
clrscr();
c=a+b;
printf (""c::%d"", c);
getch();
}
"
Screenshot 2025-04-11 172501.png,"#include<stdio.h>
#include<conio.h>
void main()
{
clrscr();
printf(""Hello World"");
getch();
}
"
Screenshot 2025-04-11 172605.png,"#include<stdio.h>
#include<conio.h>
Void main()
{
clrscr();
Printf(""\t My Introduction\n"");
Printf(""Hey Friends I m Ram\n"");
Printf(""I m student of Be The Developer. com"");
Printf(""\n C Programming is best for me."");
Printf(""\t"");
getch();
}
"
Screenshot 2025-04-11 172619.png,"#include<stdio.h>
#include<conio.h>
void main()
{
int a=12, b=4, c;
clrscr();
c=a+b;
printf(""c::%d"",c);
getch();
}
"
Screenshot 2025-04-11 172635.png,"#include<stdio.h>
#include<conio.h>
void main()
{
clrscr();
printf(""Hello World"");
getch();
}"
Screenshot 2025-04-11 172655.png,"#include <stdio.h>
#include <conio.h>
main()
{
int a=10, b=5, c;
clrscr();
c= a/b
printf(""c::%d"", c);
getch();
}"
Screenshot 2025-04-11 172802.png,"#include < simple cpp>
main program {
repeat (4) {
repeat (8) { cout << ""*""; }
cout << ""\n"";
}
}"
Screenshot 2025-04-11 172942.png,"#include <stdio.h>
#include <conio.h>
void main()
{
int i, j;
clrscr();
for (i=1; i<=5; i++)
{
for(j=1; j<=i; j++)
{
Printf(""*"");
}
Printf (""\n"");
}
getch();
}"
Screenshot 2025-04-11 174707.png,"#include <stdio.h>
#include <conio.h>
main ()
{
int i, number, count;
printf(""Prime no's from 1 to 50 are: \n"");
for (number = 1; number <= 50; number++)
{
count = 0;
for(i=2; i <= number/2; i++)
{
if (number % i == 0)
{
count ++;
break;
}
}
if (count == 0 && number != 1)
{
printf(""%d "", number);
}
}
getch();
return 0;
}"
